communityName,state,countyCode,communityCode,population,racepctblack,racePctWhite,racePctAsian,racePctHisp,medIncome,PctPopUnderPov,PctNotHSGrad,PctUnemployed,PctEmploy,PctForeignBorn,PolicPerPop,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
BerkeleyHeightstownship,NJ,39,5320,11980,1.37,91.78,6.5,1.88,75122,1.96,9.9,2.7,64.55,10.66,,,0,0,0,0,1,8.2,4,32.81,14,114.85,138,1132.08,16,131.26,2,16.41,41.02,1394.59
Marpletownship,PA,45,47616,23123,0.8,95.57,3.44,0.85,47917,3.98,13.72,2.43,61.96,8.3,,,0,0,1,4.25,5,21.26,24,102.05,57,242.37,376,1598.78,26,110.55,1,4.25,127.56,1955.95
Tigardcity,OR,,,29344,0.74,94.33,3.43,2.35,35669,4.75,9.09,4.01,69.8,5,,,3,8.3,6,16.6,56,154.95,14,38.74,274,758.14,1797,4972.19,136,376.3,22,60.87,218.59,6167.51
Gloversvillecity,NY,35,29443,16656,1.7,97.35,0.5,0.7,20580,17.23,33.68,9.86,54.74,2.04,,,0,0,10,57.86,10,57.86,33,190.93,225,1301.78,716,4142.56,47,271.93,,,306.64,
Bemidjicity,MN,7,5068,11245,0.53,89.16,1.17,0.52,17390,29.99,23.06,9.08,52.44,1.74,,,0,0,,,4,32.04,14,112.14,91,728.93,1060,8490.87,91,728.93,5,40.05,,9988.79
Springfieldcity,MO,,,140494,2.51,95.65,0.9,0.95,21577,17.78,23.03,5.72,59.02,1.49,,,7,4.63,77,50.98,136,90.05,449,297.29,2094,1386.46,7690,5091.64,454,300.6,134,88.72,442.95,6867.42
Norwoodtown,MA,21,50250,28700,1.6,96.57,1.47,1.1,42805,4.01,13.89,4.85,65.42,9.19,,,0,0,4,13.53,9,30.44,54,182.66,110,372.09,288,974.19,144,487.1,17,57.5,226.63,1890.88
Andersoncity,IN,,,59459,14.2,84.87,0.4,0.63,23221,17.98,28.67,8.19,56.59,0.87,,,8,13.13,34,55.79,98,160.8,128,210.02,608,997.6,2250,3691.79,125,205.1,9,14.77,439.73,4909.26
Fargocity,ND,17,25700,74111,0.35,97.11,1.25,0.73,25326,13.68,11.27,4.18,68.51,1.99,,,0,0,35,43.87,16,20.05,41,51.39,425,532.66,3149,3946.71,206,258.18,8,10.03,115.31,4747.58
Wacocity,TX,,,103590,23.14,67.6,0.92,16.35,17852,28.68,31.62,8.39,51.37,4.63,183.5,86346.3,29,26.88,141,130.69,453,419.89,1043,966.77,2397,2221.81,6121,5673.63,1070,991.8,18,16.68,1544.24,8903.93
Shermancity,TX,,,31601,12.63,83.22,0.77,4.39,24763,15.61,24.86,7.19,57.76,2.97,,,1,3.11,29,90.25,71,220.96,131,407.69,468,1456.49,1817,5654.8,151,469.94,6,18.67,722.02,7599.9
SanPablocity,CA,,,25158,21.34,49.42,17.21,26.78,25479,19.02,34.18,10.16,55.94,26.41,,,12,44.42,21,77.73,309,1143.81,362,1340,478,1769.39,1460,5404.4,430,1591.71,20,74.03,2605.96,8839.53
BowlingGreencity,KY,,,40641,12.18,86.39,1.12,0.68,20043,23.91,28.52,6.93,58.62,1.54,,,3,6.54,36,78.53,58,126.52,269,586.8,582,1269.58,1786,3895.99,148,322.85,9,19.63,798.39,5508.05
PineBluffcity,AR,,,57140,53.52,45.65,0.49,0.43,19143,27.71,34.5,11.05,51.37,0.71,189.1,64068.5,16,27.26,59,100.51,261,444.61,531,904.55,1754,2987.92,2010,3424.02,517,880.7,46,78.36,1476.93,7371
NewUlmcity,MN,15,46042,13132,0.06,99.21,0.47,0.59,25797,6.84,25.41,3.67,65.62,0.91,,,0,0,,,0,0,9,65.82,67,489.98,283,2069.62,21,153.58,1,7.31,,2720.49
Maplewoodcity,MN,123,40382,30954,2.52,94.39,2.03,1.55,37856,6.22,14.64,4.17,68.12,2.62,,,0,0,,,27,79.7,37,109.22,226,667.12,1618,4776.1,159,469.34,7,20.66,,5933.23
Enfieldtown,CT,3,25990,45532,2.65,95.72,1.04,2.28,44635,2.89,21.62,4.01,68.24,5.22,,,1,2.19,0,0,23,50.46,17,37.29,282,618.62,906,1987.5,232,508.94,7,15.36,89.94,3130.42
Glendalecity,CA,,,180038,1.3,74.02,14.14,20.96,34372,14.37,22.83,6.95,60.04,45.19,113.7,116516,9,5.02,30,16.72,355,197.91,277,154.42,1596,889.74,4501,2509.23,1447,806.68,73,40.7,374.07,4246.34
Worthingtoncity,OH,,,14869,2.28,94.74,2.67,0.74,49851,2.35,5.95,2.57,66.85,4.73,,,0,0,2,13.24,10,66.18,5,33.09,99,655.15,414,2739.73,18,119.12,4,26.47,112.5,3540.47
Arlingtoncity,TX,,,261721,8.41,82.64,3.92,8.91,35048,8.21,12.19,4.99,74.65,7.64,121.8,69085.6,7,2.39,146,49.94,710,242.88,1396,477.55,3977,1360.48,11514,3938.78,2452,838.8,97,33.18,772.77,6171.23
Plymouthcity,MN,53,51730,50889,1.61,95.66,2.04,1.02,51314,3.36,5.56,3.24,78.05,2.61,,,0,0,,,13,21.41,55,90.6,271,446.39,1468,2418.09,100,164.72,62,102.13,,3131.33
NewYorkcity,NY,,,7322564,28.71,52.26,7,24.36,29823,19.29,31.68,8.98,56.12,28.45,350.5,220955.41,1946,26.59,2818,38.5,86001,1174.95,62778,857.68,99207,1355.37,235132,3212.39,112464,1536.49,4443,60.7,2097.71,6164.95
Marinacity,CA,,,26436,18.97,53.6,20.84,10.73,29043,9.67,15.83,3.5,75.2,18.34,,,2,12.89,9,58.03,42,270.79,47,303.03,226,1457.12,547,3526.76,50,322.37,5,32.24,644.75,5338.49
Lebanoncity,NH,9,41300,12183,0.41,97.55,1.55,0.91,32221,6.07,17.61,3.14,69.56,3.09,,,0,0,1,8.07,0,0,17,137.13,64,516.25,582,4694.68,27,217.79,4,32.27,145.2,5461
Rockledgecity,FL,,,16023,13.79,83.94,1.42,2.4,34934,5.75,14.21,5.39,64.92,4.63,,,0,0,10,55.52,19,105.48,72,399.71,226,1254.65,721,4002.66,63,349.75,2,11.1,560.71,5618.16
